Detergent,	6,	332,	Total1992 
 Flour,	6,	264,	Total1584 
 Airfreshner,	3,	332,	Total996 
 Detergent,	6,	240,	Total1440 
 Coffee,	3,	330,	Total990 
 Coffee,	5,	635,	Total3175 
 Rice,	8,	332,	Total2656 
 Coffee,	6,	264,	Total1584 
 Rice,	6,	230,	Total1380 
 Airfreshner,	3,	230,	Total690 
 Tea,	5,	230,	Total1150 
 DishWasher,	6,	332,	Total1992 
 Coffee,	7,	230,	Total1610 
 Salt,	8,	230,	Total1840 
 Olive Oil,	8,	264,	Total2112 
 Tea,	8,	100,	Total800 
 Coffee,	7,	332,	Total2324 
 DishWasher,	7,	258,	Total1806 
 DishWasher,	3,	100,	Total300 
 Airfreshner,	6,	264,	Total1584 
 Coffee,	6,	332,	Total1992 
 Rice,	6,	204,	Total1224 
 DishWasher,	6,	230,	Total1380 
 DishWasher,	6,	240,	Total1440 
 Coffee,	6,	230,	Total1380 
 Rice,	8,	635,	Total5080 
 Airfreshner,	3,	230,	Total690 
 Airfreshner,	7,	204,	Total1428 
 Coffee,	3,	230,	Total690 
 Rice,	5,	258,	Total1290 
 Coffee,	8,	230,	Total1840 
 Detergent,	5,	332,	Total1660 
 Sugar,	3,	332,	Total996 
 Sugar,	3,	230,	Total690 
 Detergent,	3,	100,	Total300 
 Salt,	6,	100,	Total600 
 Airfreshner,	8,	332,	Total2656 
 DishWasher,	5,	264,	Total1320 
 Airfreshner,	5,	240,	Total1200 
 Airfreshner,	5,	100,	Total500 
 Salt,	7,	264,	Total1848 
 Detergent,	6,	240,	Total1440 
 DishWasher,	7,	240,	Total1680 
 Airfreshner,	5,	100,	Total500 
 Coffee,	5,	258,	Total1290 
 DishWasher,	8,	635,	Total5080 
 Rice,	6,	264,	Total1584 
 Tea,	5,	204,	Total1020 
 Rice,	6,	264,	Total1584 
 DishWasher,	6,	330,	Total1980 
 Salt,	5,	100,	Total500 
 Salt,	3,	100,	Total300 
 Salt,	3,	230,	Total690 
 Salt,	8,	258,	Total2064 
 Sugar,	3,	204,	Total612 
 Olive Oil,	6,	240,	Total1440 
 Rice,	5,	230,	Total1150 
 Tea,	8,	240,	Total1920 
 Tea,	3,	635,	Total1905 
 Detergent,	8,	332,	Total2656 
 Tea,	7,	240,	Total1680 
 DishWasher,	5,	230,	Total1150 
 Coffee,	6,	330,	Total1980 
 Rice,	6,	230,	Total1380 
 Salt,	3,	204,	Total612 
 Flour,	6,	264,	Total1584 
 Sugar,	8,	230,	Total1840 
 Sugar,	7,	230,	Total1610 
 Coffee,	6,	330,	Total1980 
 DishWasher,	5,	330,	Total1650 
 Salt,	8,	240,	Total1920 
 Airfreshner,	6,	230,	Total1380 
 Salt,	5,	230,	Total1150 
 Coffee,	3,	240,	Total720 
 Rice,	6,	230,	Total1380 
 Flour,	3,	230,	Total690 
 Detergent,	6,	100,	Total600 
 Salt,	3,	258,	Total774 
 DishWasher,	6,	240,	Total1440 
 Flour,	6,	230,	Total1380 
 Rice,	8,	240,	Total1920 
 Rice,	6,	264,	Total1584 
 Tea,	8,	230,	Total1840 
 Tea,	5,	240,	Total1200 
 Salt,	3,	100,	Total300 
 Sugar,	3,	332,	Total996 
 Salt,	3,	204,	Total612 
 Airfreshner,	7,	230,	Total1610 
 Salt,	6,	230,	Total1380 
 Detergent,	6,	204,	Total1224 
 Sugar,	8,	330,	Total2640 
 Airfreshner,	6,	330,	Total1980 
 Sugar,	7,	230,	Total1610 
 DishWasher,	5,	330,	Total1650 
 Rice,	3,	240,	Total720 
 Rice,	7,	264,	Total1848 
 Airfreshner,	5,	264,	Total1320 
 Flour,	6,	230,	Total1380 
 Rice,	5,	635,	Total3175 
 Flour,	6,	230,	Total1380 
 
